iata,icao,airline
PR,BOI,2GO
2T,TBS,Timbis Air
Q5,MLA,40-Mile Air
4D,ASD,Air Sinai
4R,SEK,Star East Airline
4O,AIJ,Interjet
7A,XRC,Express Air Cargo
7B,UBE,Bees Airline
7S,RYA,Ryan Air Services
BJ,ABJ,Abaeté Linhas Aéreas
RL,ABG,Abakan-Avia
W9,AAB,Abelag Aviation
M3,TUS,*ABSA Cargo*
GB,ABX,ABX Air
ZA,CYD,*AccessAir*
VX,AES,*ACES Colombia*
KI,DHI,*Adam Air*
Z7*,ADK,*ADC Airlines*
JP,ADR,Adria Airways
AN,WSN,Advanced Air
A3,AEE,Aegean Airlines
9D,CND,*Aero Continente Dominicana*
ML,AEK,*Aero Costa Rica*
DW,UCR,Aero-Charter Ukraine
SU,AFL,Aeroflot
P3,PLS,Aeroflot-Plus
OB,AAT,*Austrian Airtransport*
SM,AAW,*Allied Airways*
KJ,AAZ,Asian Air
YE,ACQ,Aryan Cargo Express
VJ,AFF,Africa Airways
QH,FLA,Air Florida
3O,MAC,Air Arabia Maroc
HD,ADO,AIRDO
UJ,LMU,AlMasria Universal Airlines
A2,AWG,Animawings
X9,NVD,Avion Express
3S*,AEN,*Aeroland Airways*
JU,ASL,Air Serbia
QH,LYN,Air Kyrgyzstan
XK,CCM,Air Corsica
EI,EIN,Aer Lingus
EG,EUK,Aer Lingus UK
A8,XAU,Aerolink Uganda
RV,ROU,Air Canada Rouge
7A,AZY,Aztec Worldwide Airlines
6U,ACX,*Air Cargo Germany*
ZI,AAF,Aigle Azur
AE,AE,*Air Ceylon*
4K*,AAS,Askari Aviation
8U,AAW,Afriqiyah Airways
Q9,AFU,Afrinat International Airlines
KI,AAG,Air Atlantique
QB,AAJ,*Air Alma*
LD,AHK,Air Hong Kong
2Y,ADW,*Air Andaman*
UX,AEA,Air Europa
IG,AEY,Air Italy
NX,AMU,Air Macau
ZV,AMW,Air Midwest
HM,SEY,Air Seychelles
AF,AFR,Air France
SB,ACI,Air Caledonie International
EH,AKX,Air Nippon Network Co. Ltd.
ED,AXE,AirExplore
ZW,AWI,Air Wisconsin
YI,RSI,Air Sunshine
GN,AGN,*Air Gabon*
9T,RUN,Air ACT
ZB,ABN,Air Albania
3J,AAQ,*Air Alliance*
WP,ATW,Air Antwerp
BX,ABL,Air Busan
LB,LEP,Air Costa
GL,GRL,Air Greenland
3S,GUY,Air Guyane Express
NQ,AJX,Air Japan
IJ,LIB,*Air Liberté*
TT,KLA,*Air Lithuania*
QM,AIM,*Air Malawi*
L6,AMI,*Air Maldives*
ML,BIE,*Air Mediterranee*
P8,MKG,*Air Mekong*
ZQ,MNE,Air Montenegro
"NZ 

TE",ANZ,Air New Zealand
4N,ANT,Air North Charter - Canada
ZX,ABL,*Air BC*
G8,AGB,*Air Service Gabon*
7T,AGV,Air Glaciers
6V,VGA,*Air Vegas*
NH,ANA,All Nippon Airways
TZ,TWG,air-taxi Europe
2Q,SNC,Air Cargo Carriers
V7,SNG,*Air Senegal International*
AB,BER,*Air Berlin*
QN,ARR,Air Armenia
AI,AIC,Air India Limited
PJ,SPM,Air Saint Pierre
SZ,WOW,*Air Southwest*
8C,ATN,Air Transport International
NF,AVN,Air Vanuatu
ZB,BUB,*Air Bourbon*
CC,ABD,Air Atlanta Icelandic
RB,SBK,*Air Srpska*
TN,THT,Air Tahiti Nui
SW,NMB,Air Namibia
AW,AFW,Africa World Airlines
PE,AEL,*Air Europe Italy*
JM,AJM,Air Jamaica
6G,AWW,*Air Wales*
TX,FWI,Air Caraïbes
IX,AXB,Air India Express
BT,BTI,Air Baltic
EL,ANK,Air Nippon
YW,ANE,Air Nostrum
PX,ANG,Air Niugini
G9,ABY,Air Arabia
AC,ACA,Air Canada
AP,LAV,AlbaStar
E9,MHS,Air Memphis
XT,AXL,*Air Exel*
UM,AZW,Air Zimbabwe
S2,RSH,Air Sahara
TC,ATC,Air Tanzania
2J,VBW,Air Burkina
KM,AMC,Air Malta
YT,TGA,*Air Togo*
G4,AAY,Allegiant Air
O4,ABV,Antrak Air
GB,ABX,*Airborne Express*
8T,TID,Air Tindi
3L,ADY,Air Arabia Abu Dhabi
EM*,AEB,*Aero Benin*
KD,AEN,*Air Enterprise*
AX,AAC,AmericanConnection[8]
AN,AAA,*Ansett Australia*
5W,AEU,*Astraeus*
VV,AEW,*Aerosvit Airlines*
WK,AFB,*American Falcon*
QQ,UTY,Alliance Airlines
FG,AFG,Ariana Afghan Airlines
RV*,AFI,Africaone
Y2,AFJ,*Alliance Air*
5Z,AFX,Airfreight Express
