iata,icao,airport
SHJ,OMSJ,Sharjah International Airport
AZI,OMAD,Al Bateen Executive Airport
FJR,OMFJ,Fujairah International Airport
XSB,OMBY,Sir Bani Yas Airport
RKT,OMRK,Ras Al Khaimah International Airport
DWC,OMDW,Al Maktoum International Airport
DHF,OMAM,Al Dhafra Air Base
ZDY,OMDL,Dalma Airport
DXB,OMDB,Dubai International Airport
AAN,OMAL,Al Ain International Airport
NHD,OMDM,Al Minhad Air Base
AUH,OMAA,Abu Dhabi International Airport
FAH,OAFR,Farah Airport
MMZ,OAMN,Maymana Airport
OLR,OASL,Forward Operating Base Salerno
KWH,OAHN,Khwahan Airport
SBF,OADS,Sardeh Band Airport
KBL,OAKB,Hamid Karzai International Airport
LQN,OAQN,Qala i Naw Airport
FBD,OAFZ,Fayzabad Airport
KHT,OAKS,Khost Airfield
SGA,OASN,Sheghnan Airport
HEA,OAHR,Herat International Airport
GZI,OAGN,Ghazni Airport
BIN,OABN,Bamyan Airport
KDH,OAKN,Kandahar International Airport
DWR,OADY,Dwyer Airport
GRG,OAGZ,Gardez Airport
UND,OAUZ,Kunduz Airport
BST,OABT,Bost Airport
URZ,OARG,Uruzgan Airport
TII,OATN,Tarinkot Airport
URN,OAOG,Urgun Airport
ZAJ,OAZJ,Zaranj Airport
OAZ,OAZI,Camp Bastion Air Base
MZR,OAMS,Mazar-e Sharif International Airport
KUR,OARZ,Razer Airport
TQN,OATQ,Taloqan Airport
CCN,OACC,Chaghcharan Airport
DAZ,OADZ,Darwaz Airport
JAA,OAJL,Jalalabad Airport
OAA,OASH,Forward Operating Base Shank
OAH,OASD,Shindand Air Base
OAI,OAIX,Bagram Airfield
OAS,OASA,Sharana Airstrip / Forward Operating Base Sharana
BBQ,TAPH,Barbuda Codrington Airport
ANU,TAPA,V. C. Bird International Airport
AXA,TQPF,Clayton J. Lloyd International Airport
LWN,UDSG,Shirak Airport
EVN,UDYZ,Zvartnots International Airport
LUO,FNUE,Luena Airport
VPE,FNGI,Ondjiva Pereira Airport
UGO,FNUG,Uige Airport
KNP,FNCP,Kapanda Airport
SVP,FNKU,Kuito Airport
ARZ,FNZE,N'zeto Airport
CTI,FNCV,Cuito Cuanavale Airport
MSZ,FNMO,Namibe Airport (Yuri Gagarin Airport)
SZA,FNSO,Soyo Airport
SDD,FNUB,Lubango Mukanka Airport
PBN,FNPA,Porto Amboim Airport
CAV,FNCZ,Cazombo Airport
MEG,FNMA,Malanje Airport
AZZ,FNAM,Ambriz Airport
LZM,FNLZ,Cuango-Luzamba Airport
VHC,FNSA,Henrique de Carvalho Airport
PGI,FNCH,Chitato Airport
DUE,FNDU,Dundo Airport
LLT,FNLB,Lobito Airport
CBT,FNCT,Catumbela Airport
NDD,FNSU,Sumbe Airport
CEO,FNWK,Waco Kungo Airport
NOV,FNHU,Albano Machado Airport
BUG,FNBG,Benguela Airport (Gen. V. Deslandes Airport)
LBZ,FNLK,Lucapa Airport
LAD,FNLU,Quatro de Fevereiro Airport
NZA,FNZG,Nzagi Airport
XGN,FNXA,Xangongo Airport
CFF,FNCF,Cafunfo Airport
CAB,FNCA,Cabinda Airport
UAL,FNUA,Luau Airport
SPP,FNME,Menongue Airport
GXG,FNNG,Negage Airport
SSY,FNBC,Mbanza Congo Airport
